hate,text,cleaned_text
2,kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri ma hogi zopdi wali bhen ke lode nikal yahaxe2x80xa6,kyu ki ye tere bap ka nay hai tweeter madarchod bhosdike teri hogi zopdi wali bhen ke lode nikal yahaxexxa
2,terrorist madarchod humse baat karta hai,terrorist madarchod humse baat karta hai
2,madarchod he saala,madarchod saala
2,randi ki beti madarchod baaap se chuda moti bhains,randi ki beti madarchod baaap se chuda moti bhains
2,madarchod chutiya tum ho sale,madarchod chutiya tum ho sale
2,katra hotel owners madarchod hote hain,katra hotel owners madarchod hote hain
2,teri ammi ko  se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahixe2x80xa6,teri ammi ko se chudwa madarchod minus minus plus hota hai dimaag thikaney aajaye kahixexxa
2,narad muni hai madarchod,narad muni hai madarchod
2,madarchod karamfoot gaandu father of congress,madarchod karamfoot gaandu father congress
2,abe behsaram madarchod madarjaat tu abhi tak mara nahi tu to suiside karne waala tha kutte harami madarchoddddddddddddddd,abe behsaram madarchod madarjaat tu abhi tak mara nahi tu suiside karne waala tha kutte harami madarchoddddddddddddddd
2,rt  when any virtue signalling chutiya comes to your tl grab his collar and say they are not playing by any rules  saala baap ko sikhata hai ts a fuckixe2x80xa6,rt virtue signalling chutiya comes tl grab collar say playing rules saala baap ko sikhata hai ts fuckixexxa
2,sab madarchod neta haisb,sab madarchod neta haisb
2,arrey madarchod ky bacchey terko inko congrates karney ka time hain but ek tweet karxe2x80xa6,arrey madarchod ky bacchey terko inko congrates karney ka time hain ek tweet karxexxa
2,chal is baat me tu zaira waseem ki tatti kha le hutiyewarna ek baaxe2x80xa6,chal baat tu zaira waseem ki tatti kha le hutiyewarna ek baaxexxa
2,madarchod  teri kon sunega,madarchod teri kon sunega
1,teri maa randi madarchod saale pakistani,teri maa randi madarchod saale pakistani
2,madarchod tera ghar ka nahi khati hai voh chutiye,madarchod tera ghar ka nahi khati hai voh chutiye
2,i m agree with you behanchod madarchod log h bhosdi wali log gali se hi baat smjjhane kaa xf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8c,agree behanchod madarchod log h bhosdi wali log gali se hi baat smjjhane kaa xfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxc
2,madarchod choro hindustan chodo,madarchod choro hindustan chodo
2,madarchod tum vote ke liye apne bet i  tak ki dalali kar sake ho,madarchod tum vote ke liye apne bet tak ki dalali kar sake ho
0,ok,ok
0,rt           xe2x80xa6,rt xexxa
2,tu madarchod haii dosti ke namm par sala dhoka deta hai,tu madarchod haii dosti ke namm par sala dhoka deta hai
2,madarchod fawad ko toh try ball khelaya gya tha usey hi tum log first inning samjh liye grow up morons bhabhi sexe2x80xa6,madarchod fawad ko toh try ball khelaya gya tha usey hi tum log first inning samjh liye grow morons bhabhi sexexxa
2,ye bahenchod achhe khase lund ko bekar karenge itna bada risk le rahe hain,ye bahenchod achhe khase lund ko bekar karenge itna bada risk le rahe hain
2,rt  kya zindagi h yaar bahenchod  ndimag khrb ng m sb k sb  ngood night,rt kya zindagi h yaar bahenchod ndimag khrb ng sb k sb ngood night
2,rt  ladke wale kya karti hai aapki betinladki k papa twitter par logo ko bahenchod bolkar gender equality me apna yogdan dxe2x80xa6,rt ladke wale kya karti hai aapki betinladki k papa twitter par logo ko bahenchod bolkar gender equality apna yogdan dxexxa
2,kya zindagi h yaar bahenchod  ndimag khrb ng m sb k sb  ngood night,kya zindagi h yaar bahenchod ndimag khrb ng sb k sb ngood night
2,rt   abe bahenchod kuch to sharam kar san be dekha hai nnfixedwinnershilpa,rt abe bahenchod kuch sharam kar san dekha hai nnfixedwinnershilpa
0,rt      hny k time pe 15000 kamaya tha maineis baar payment nahi de rahe haixe2x80xa6,rt hny k time pe kamaya tha maineis baar payment nahi de rahe haixexxa
2,ache se dekh le bahenchod,ache se dekh le bahenchod
2,madarchod log nnbahenchod lognnrat ko motorbike me se petrol nchurane wale log,madarchod log nnbahenchod lognnrat ko motorbike se petrol nchurane wale log
2,bahenchodn why getting lots of ad in your wynk music app pure mood ki maa behen kr dete h,bahenchodn getting lots ad wynk music app pure mood ki maa behen kr dete h
2,they dont know there is a word called bahenchod,dont know word called bahenchod
2,xf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8cxf0x9fx91x8c acha reply diya ladkiya khe rahi bahenchod jab itna normal hai to maal khe diya to kya galat maal hxe2x80xa6,xfxfxxcxfxfxxcxfxfxxcxfxfxxcxfxfxxc acha reply diya ladkiya khe rahi bahenchod jab itna normal hai maal khe diya kya galat maal hxexxa
2,bahenchod aaukad mein rah,bahenchod aaukad mein rah
2,rt  friend  bhai me apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme    bahenchod  rakh de,rt friend bhai apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme bahenchod rakh de
2,u idiot what d fuck ur fucking human rights watch z watching in baluchistan u motherfuckers shd close urxe2x80xa6,u idiot fuck ur fucking human rights watch z watching baluchistan u motherfuckers shd close urxexxa
2,anushka baby tum mujhe shadi bad kis nam se bulao geynnvirat bahenchodnnvirushkawedding,anushka baby tum mujhe shadi bad kis nam se bulao geynnvirat bahenchodnnvirushkawedding
2,bahenchod  experienced lagte ho bhai bhotxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82,bahenchod experienced lagte ho bhai bhotxfxfxxxfxfxxxfxfxxxfxfxxxfxfxx
2,bahenchod sale bra nahi mangege tere bahen ki chuchi masal kxe2x80xa6,bahenchod sale bra nahi mangege tere bahen ki chuchi masal kxexxa
2,or koi gaali bhi nahi dega bahenchodxf0x9fx98x82,koi gaali bhi nahi dega bahenchodxfxfxx
2,yeh dekho bahenchod ko fake id chala raha hai,yeh dekho bahenchod ko fake id chala raha hai
0,rt  chalo acha h tumhare dost tumhare birthday ka countdown kar rahe hnbut iska mtlb yeh thodi h ki uska ss le k tum story daxe2x80xa6,rt chalo acha h tumhare dost tumhare birthday ka countdown kar rahe hnbut iska mtlb yeh thodi h ki uska ss le k tum story daxexxa
2,rt  anushka baby tum mujhe shadi bad kis nam se bulao geynnvirat bahenchodnnvirushkawedding,rt anushka baby tum mujhe shadi bad kis nam se bulao geynnvirat bahenchodnnvirushkawedding
2,bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sali ko ghutno par bithuga n kutiya baxe2x80xa6,bahenchod sale bra nahi mangege tere bahen ki chuchi masal kar sali ko ghutno par bithuga n kutiya baxexxa
2,are bhai apne bahen ka nhi banaya kya uska bhi bana ke dalna tha na bahenchod naale me paida hua kya,bhai apne bahen ka nhi banaya kya uska bhi bana ke dalna tha na bahenchod naale paida hua kya
2,friend  bhai me apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme    bahenchod  rakh de,friend bhai apne bete ka kya naam rakhu jo sabki zubaan pe rahe nnme bahenchod rakh de
2,abe bahenchod kuch to sharam kar san be dekha hai nnfixedwinnershilpa,abe bahenchod kuch sharam kar san dekha hai nnfixedwinnershilpa
2,bahenchod this is the saddest thing girl ready to do anything to help a guy sleep xf0x9fx98xa1xf0x9fx98xa1,bahenchod saddest thing girl ready anything help guy sleep xfxfxxaxfxfxxa
2,bahenchod 65 saal tk apni maa chudwa rahe the tum log,bahenchod saal tk apni maa chudwa rahe tum log
2,maadarchod tu dusaro ko chhod tujhe gandhi family ka aishoaaram mil raha hai bahenchod dusaro ki fikxe2x80xa6,maadarchod tu dusaro ko chhod tujhe gandhi family ka aishoaaram mil raha hai bahenchod dusaro ki fikxexxa
2,bahenchod laal chaddi goons,bahenchod laal chaddi goons
0,badir just announced their funding statistics for their emerging startups in saudi arabian news tech,badir announced funding statistics emerging startups saudi arabian news tech
2,saala bhadva chandi ke mukut dene waley ki shaadi me hi jata haiisliye log ko pataxe2x80xa6,saala bhadva chandi ke mukut dene waley ki shaadi hi jata haiisliye log ko pataxexxa
2,bhadve  ne teri bhadva giri sabko bata di shame,bhadve ne teri bhadva giri sabko bata di shame
2,rt   neem ka pta kadva hai karan patel bhadva haixf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82 abbe chaman chutie apni izzat kyu utarvane pr tulla haixf0x9fx98x82xf0x9fx98x82,rt neem ka pta kadva hai karan patel bhadva haixfxfxxxfxfxxxfxfxxxfxfxx abbe chaman chutie apni izzat kyu utarvane pr tulla haixfxfxxxfxfxx
2,rt   bhadva jnta party nbjp nhi nsale kutto,rt bhadva jnta party nbjp nhi nsale kutto
2,lukachut bhadva,lukachut bhadva
2,aese bhadva logo ko mind me nahi leneka ae pakistan jake sarkar girane ko bolta tha ae dalal he,aese bhadva logo ko mind nahi leneka ae pakistan jake sarkar girane ko bolta tha ae dalal
2,aamir khan the great bhadva immediately started speaking when jihadi zaira got touched but he never speaks for hindus,aamir khan great bhadva immediately started speaking jihadi zaira got touched never speaks hindus
2,tu up bihar ka bhadva hoga jise gujarati me kadva kehete he ab to saxe2x80xa6,tu bihar ka bhadva hoga jise gujarati kadva kehete ab saxexxa
2,pakistan bhadva hai,pakistan bhadva hai
2,bhadvas started to bark aap the great bhadva party,bhadvas started bark aap great bhadva party
2,haa tu rahul  ka ghu khata hai npata hai sab ko ngandi nali ka kida bhadva,haa tu rahul ka ghu khata hai npata hai sab ko ngandi nali ka kida bhadva
2,kickout arshi chhinal and vikas bhadva,kickout arshi chhinal vikas bhadva
2,large number mein ayengey to bjp ko vote karengey aur is se  ki gaand nahixe2x80xa6,large number mein ayengey bjp ko vote karengey aur se ki gaand nahixexxa
2,hindi nai aati to ma chvane aaya he politics me sala bhadva  samjate pappu tere perie ko,hindi nai aati chvane aaya politics sala bhadva samjate pappu tere perie ko
2,aur chatne wale ko kutta chatukarnbhakt hai to sahi kam se kam dalal bhadva kuttaxe2x80xa6,aur chatne wale ko kutta chatukarnbhakt hai sahi kam se kam dalal bhadva kuttaxexxa
2,aur wo bhadva hai lalu prasad nsaalako thappad maar ke theek karo,aur wo bhadva hai lalu prasad nsaalako thappad maar ke theek karo
0,that fellow tiwari must be getting part of the loot fromxe2x80xa6,fellow tiwari must getting part loot fromxexxa
2,to for 60 sal tak kya kiya jo ab bevakuf banane nikala hai murkh bhadva,sal tak kya kiya jo ab bevakuf banane nikala hai murkh bhadva
2,abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla,abe bhadva kanhiya kutte gaddar sale pakistani kutta dalla
2,a re mania tuh  nich hai modisahab ko laker teri gaand main jalan ho rahi haixe2x80xa6,mania tuh nich hai modisahab ko laker teri gaand main jalan ho rahi haixexxa
2,kapil sibbal ko border pe ulta latka k itne chhed kare ki uski randimaa  b pehchan na sakxe2x80xa6,kapil sibbal ko border pe ulta latka k itne chhed kare ki uski randimaa b pehchan na sakxexxa
2,sorry agar me kuch gali likh du to kyuki mera hindi thoda poor hebhadva chutiya gujarati o ko gali deta he,sorry agar kuch gali likh du kyuki mera hindi thoda poor hebhadva chutiya gujarati ko gali deta
2,bhadva havaskhor 18 dec k baad tu gujrat me dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor,bhadva havaskhor dec k baad tu gujrat dikh nhi payega dekh lena kahi muh chupa k pada hoga bhadva harpik havsakhor
2,bhadva  m s aiyar,bhadva aiyar
2,sorry chakkichods i forgot to add bhadva owaisi count him too p,sorry chakkichods forgot add bhadva owaisi count p
2,bhadva,bhadva
2,aano pan javab aapi de bhadva pavaya,aano pan javab aapi de bhadva pavaya
2,abe tu dallal hai sale bhadva hai tu congress ka gandu manishankar,abe tu dallal hai sale bhadva hai tu congress ka gandu manishankar
2,congress ka bhadva he tu madrchod,congress ka bhadva tu madrchod
2,neem ka pta kadva hai karan patel bhadva haixf0x9fx98x82xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82 abbe chaman chutie apni izzat kyu utarvane pr tulla haixf0x9fx98x82xf0x9fx98x82,neem ka pta kadva hai karan patel bhadva haixfxfxxxfxfxxxfxfxxxfxfxx abbe chaman chutie apni izzat kyu utarvane pr tulla haixfxfxxxfxfxx
2,randi chodne wala bhadva aagaya,randi chodne wala bhadva aagaya
1,aur yeh nikla paki bhadva hindu naam istamal karte hueabey katvexe2x80xa6,aur yeh nikla paki bhadva hindu naam istamal karte hueabey katvexexxa
2,bhadva vo khali tu hay tihar ki tyari kar baki sara india safe haytune life me ek hi kam achha kixe2x80xa6,bhadva vo khali tu hay tihar ki tyari kar baki sara india safe haytune life ek hi kam achha kixexxa
2,anurag bhadva rahul tera baap hai,anurag bhadva rahul tera baap hai
2,ye bhadva miljaye uskimaa chod du,ye bhadva miljaye uskimaa chod du
2,pmsupariattacknsach kadva hai manishanker aiyyer pakistan ka bhadva hainsorry i dont know hindi or any other language,pmsupariattacknsach kadva hai manishanker aiyyer pakistan ka bhadva hainsorry dont know hindi language
2,bhadva congress,bhadva congress
2,jhatu hai saala bhadva,jhatu hai saala bhadva
2,tu bhadva he bilkul tujme dimaag nhi,tu bhadva bilkul tujme dimaag nhi
0,rt         alfaz hai mera kadvaxe2x80xa6,rt alfaz hai mera kadvaxexxa
0,he does not have guts in his balls he is loud mouth creater of stories fake cds and what not hexe2x80xa6,guts balls loud mouth creater stories fake cds hexexxa
2,michael oliver mkc teri bhen ke lode gandu sala chutmarika bhadva,michael oliver mkc teri bhen ke lode gandu sala chutmarika bhadva
1,yes muslimo ki gand hindu jab marenge to ye harami owaisi hi uske liye jimmdar hogaya bxe2x80xa6,yes muslimo ki gand hindu jab marenge ye harami owaisi hi uske liye jimmdar hogaya bxexxa
0,it is the mindset issue congress wants to induct aap leader sangeeta chandpa recently shxe2x80xa6,mindset issue congress wants induct aap leader sangeeta chandpa recently shxexxa
2,this bhadva jantha party is appreciating a person who brutally killed a poor citizen nn,bhadva jantha party appreciating person brutally killed poor citizen nn
2,abe ye tere ko bhadva bol raha hai mar sale ko xf0x9fx98xb9xf0x9fx98xb9xf0x9fx98xb9xf0x9fx98xb9xf0x9fx98xb9xf0x9fx9axa9xf0x9fx9axa9,abe ye tere ko bhadva bol raha hai mar sale ko xfxfxxbxfxfxxbxfxfxxbxfxfxxbxfxfxxbxfxfxaxaxfxfxaxa
2,ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h,ye bhadva ladkiyo ko dhamkata h gake ss bnata h jo isse pat nhi rhi h
2,manishankaraiyar sala bhadva gujarati o ko gali deta he chutiya,manishankaraiyar sala bhadva gujarati ko gali deta chutiya
2,aur  ka ek aur bhosdika bhadva apna suar gaand mukh se bola,aur ka ek aur bhosdika bhadva apna suar gaand mukh se bola
2,loda madarchod pikina bhadva,loda madarchod pikina bhadva
0,if it shows rahulbaba visiting temples to temples kumar ketkar has no problem but is tv show what pxe2x80xa6,shows rahulbaba visiting temples temples kumar ketkar problem tv show pxexxa
2,he is such a bhadva,bhadva
2,q ki ye bhadva h,q ki ye bhadva h
0,rt      that fellow tiwari must be getting part of the loot from thexe2x80xa6,rt fellow tiwari must getting part loot thexexxa
2,modi ko gali dene walo aab jake pata chala ki hardik aek bhadva he woxe2x80xa6,modi ko gali dene walo aab jake pata chala ki hardik aek bhadva woxexxa
0,xe2x80xa6,xexxa
0,alfaz hai merxe2x80xa6,alfaz hai merxexxa
2,sala bhadva chutiya gujarati o ko gali deta he sorry yar mera hindi thoda poor he,sala bhadva chutiya gujarati ko gali deta sorry yar mera hindi thoda poor
2,kanoon ka badnaam bhadva kal bakchodi raha tha wo sunni board ka wakeel nahinnrepxe2x80xa6,kanoon ka badnaam bhadva kal bakchodi raha tha wo sunni board ka wakeel nahinnrepxexxa
1,kaye ko gaali de usko chodthe allah ke upar ye musalmanoxe2x80xa6,kaye ko gaali de usko chodthe allah ke upar ye musalmanoxexxa
2,rt  manishankaraiyar sala bhadva gujarati o ko gali deta he chutiya,rt manishankaraiyar sala bhadva gujarati ko gali deta chutiya
2,kya dallo ab ye bhadva desh ka sanman kar raha he,kya dallo ab ye bhadva desh ka sanman kar raha
2,khujli bhikhari tatte jhantu ka reporter liar aur jhantu aadmi party news rndtv ko chhodkr kabhixe2x80xa6,khujli bhikhari tatte jhantu ka reporter liar aur jhantu aadmi party news rndtv ko chhodkr kabhixexxa
2,sorry agar me kuch gali likh du tomera hindi thoda poor hebhadva  chutiya ki aulad gujarati o ko gali deta he,sorry agar kuch gali likh du tomera hindi thoda poor hebhadva chutiya ki aulad gujarati ko gali deta
0,koi nhi parwahxe2x80xa6,koi nhi parwahxexxa
2,bhadva jnta party nbjp nhi nsale kutto,bhadva jnta party nbjp nhi nsale kutto
2,vo sub congress ke bhadve hay to zakir ka bhadva hay dhede bhegiye tsaf karte hay chunav nahi ladke,vo sub congress ke bhadve hay zakir ka bhadva hay dhede bhegiye tsaf karte hay chunav nahi ladke
2,apna dekh na dogle nsher ke ghar bhadva paida hua hai nhindutva wali party modi virodhxe2x80xa6,apna dekh na dogle nsher ke ghar bhadva paida hua hai nhindutva wali party modi virodhxexxa
2,sarkar ke rs  study karne vala aj congress ke kuch feke huve tukde pe mujra karne vala bhadva he kanaya,sarkar ke rs study karne vala aj congress ke kuch feke huve tukde pe mujra karne vala bhadva kanaya
0,neem ka pataxe2x80xa6,neem ka pataxexxa
2,you are the ugliest hole one can have chutye marja tere bap ne guma kiya tuje peda karke bhadva kahin kaxf0x9fx98x82xf0x9fx98x82,ugliest hole one chutye marja tere bap ne guma kiya tuje peda karke bhadva kahin kaxfxfxxxfxfxx
2,modi n that up wala bhadva mp whats his name that maha chuxe2x80xa6,modi n wala bhadva mp whats name maha chuxexxa
2,bhadva h ye,bhadva h ye
2,neem ka patta kadva hainmourinho saala bhadva hainsatan lost we celebrate,neem ka patta kadva hainmourinho saala bhadva hainsatan lost celebrate
2,or vo bhadva kejriwal pig ki tatti khane wala or aaprtars uski kkame wale,vo bhadva kejriwal pig ki tatti khane wala aaprtars uski kkame wale
2,tu bhotnikentera baap bhootnika nteri maa bhootnikentera pura khandan bhootnika,tu bhotnikentera baap bhootnika nteri maa bhootnikentera pura khandan bhootnika
2,hahaha bhag gaya bhootnika,hahaha bhag gaya bhootnika
2,rt   muh khol chinaal,rt muh khol chinaal
2,muh khol chinaal,muh khol chinaal
2,i hate her like anything xf0x9fx98x88 she is the bighest chinaal of all timexf0x9fx98x82,hate like anything xfxfxx bighest chinaal timexfxfxx
2,ooohhh yes meri randi kuttiyaaa salliii hraaaamkhorrrr chinaal,ooohhh yes meri randi kuttiyaaa salliii hraaaamkhorrrr chinaal
2,rt   saali chinaal chut maari ki randiii kutti  le mera lund zoro me randiiiii,rt saali chinaal chut maari ki randiii kutti le mera lund zoro randiiiii
0,kissi nhi chahiye teri chinaalnchut chahiye,kissi nhi chahiye teri chinaalnchut chahiye
2,2,
1,rt  mulle ke kale lund ki diwani hui mummymulle ne maa ko chod chod ke chinaal bna diya,rt mulle ke kale lund ki diwani hui mummymulle ne maa ko chod chod ke chinaal bna diya
