Unique ID,Post,Labels Set,cleaned_text
15,"  सन कमन तर स अचछ हद ओर इगलश आत ह ओर अपन औकत म रह क बल तर क कछ बल नह ह म अगर बच म आय त बच म स ह फड दग 
ओर लखन क बत ह त कबरड स ऑटटयपग भ हत ह इसलय अपन अमम क बल ज बलन ह  नकल  ","hate,offensive",सन कमन तर स अचछ हद ओर इगलश आत ह ओर अपन औकत म रह क बल तर क कछ बल नह ह म अगर बच म आय त बच म स ह फड दग ओर लखन क बत ह त कबरड स ऑटटयपग भ हत ह इसलय अपन अमम क बल ज बलन ह नकल
16,"BMC क अपल अगल सत दन तक गरम पन क सवन कर
",fake,क अपल अगल सत दन गरम पन क सवन
17,"म कई वरसत नह छडन चहत कयक यह लकततर ह लकततर एक समह ह ज म इस समह क हसस ह म इस समह म भल जऊग हव म घल जऊग म लग क बच रहन चहग म कई वरसत नह छडग

परणब मखरज

bharatRatna 
PranabMukherjee",non-hostile,म कई वरसत नह छडन चहत कयक लकततर ह लकततर समह ह ज म समह क हसस ह म समह म भल जऊग हव म घल जऊग म लग क बच रहन चहग म कई वरसत नह छडग परणब मखरज
18,"मकश सहन न CM नतश कमर क द चनत कह कजरवल क तरह कम क नम पर लड क दखए चनव

BiharElections2020

",non-hostile,मकश सहन न नतश कमर क द चनत कह कजरवल क तरह कम क नम लड क दखए चनव
19,"हर रज जन दन पडत ह 
सम पर पहरदर क 

तब भ घर म बठबठ डर लगत ह 
दश क गददर क",offensive,हर रज जन दन पडत ह सम पहरदर क तब भ घर म बठबठ डर लगत ह दश क गददर क
20, कतत क प त बजप जइन कर ल कय पतरकरत क कलकत कर रह ह,offensive,कतत क प त बजप जइन ल कय पतरकरत क कलकत रह ह
21,"पटन लल तजसव क एक और झटक तघड रजद MLA वरदर कमर JDU म शमल
Patna BiharAssemblyElections2020 RJD JDU VirendraKumar

",non-hostile,पटन लल तजसव क झटक तघड रजद वरदर कमर म शमल
22,कशमर क लग पर ह रह जलम क खलफ आवज उठइए,hate,कशमर क लग ह रह जलम क खलफ आवज उठइए
23,सवसथय मतरलय न कवड19 क मददनजर चर रजय म उचच सतरय कनदरय दल नयकत करन क नरणय लय ,non-hostile,सवसथय मतरलय न कवड क मददनजर चर रजय म उचच सतरय कनदरय दल नयकत करन क नरणय लय
24,गजयबद असपतल म मरकज क मरज नरस क समन नग हकर घमन गल दन पर पलस न बनय परमनट टट नग परदरशन करन वल महममद मसतफ महममद गलरजशएब और मजद पर NSA भ लग ह इसलम_मकत_भरत इसलमकआतकवद तबलग_नह_तलबन_जमत_ह,"fake,hate",गजयबद असपतल म मरकज क मरज नरस क समन नग हकर घमन गल दन पलस न बनय परमनट टट नग परदरशन करन वल महममद मसतफ महममद गलरजशएब मजद भ लग ह इसलममकतभरत इसलमकआतकवद तबलगनहतलबनजमतह
25,"बहर 50 सल स जयद उमर क पलसकरमय क कम क हग समकष पलस एससएशन न जतई नरजग

Bihar BiharPolice nitishKumar

",non-hostile,बहर सल स जयद उमर क पलसकरमय क कम क हग समकष पलस एससएशन न जतई नरजग
26,"हमर हनद जट भईओ पर बल गहलत दख ल और वट द जट भईओ य सल कस क सग नह ह 

","fake,offensive",हमर हनद जट भईओ बल गहलत दख ल वट द जट भईओ य सल कस क सग नह ह
27,"RT  लग क जय_जहर शबद स कय मरच लग रह ह जबक य एक समबधन शबद ह 
सब मलकर जय_जहर बलए
जय_जहर",hate,लग क जयजहर शबद स कय मरच लग रह ह जबक य समबधन शबद ह सब मलकर जयजहर बलए जयजहर
28, य कमन जस दन मरग उस दन full परट,hate,य कमन जस दन मरग उस दन परट
29,"JNU म हई तड़फड़ क बद गरलस हसटल म बखर हआ समन धनय ह यह क सटडट बहत दख हआ इन लग क बकस दखकर सब फट गई ह

",fake,म हई तड़फड़ क बद गरलस हसटल म बखर हआ समन धनय ह क सटडट बहत दख हआ इन लग क बकस दखकर सब फट गई ह
30,"दसत मन इसतफ दकर सह कय न
अगर ह त रटवट कर वरन लइक कर pictwittercom6bdeyDTfHz",fake,दसत मन इसतफ दकर सह कय न अगर ह त रटवट वरन लइक
31,"ReportForSSR  शवसन नत सजय रउत क हथ स सबकछ नकल गय ह कय भजप महरषटर परवकत शवत शलन न रजनतक वशलषक अजय अरड स पछ

दखए पछत ह भरत अरनब क सथ रपबलक भरत पर LIVE   ",non-hostile,शवसन नत सजय रउत क हथ स सबकछ नकल गय ह कय भजप महरषटर परवकत शवत शलन न रजनतक वशलषक अजय अरड स पछ दखए पछत ह भरत अरनब क सथ रपबलक भरत
32,"सरयदय क परनत म वकस और समदध क उजयर फल रह ऊरजवन व लकपरय मखयमतर शर  ज क जनमदन क अनत शभकमनए

परभ शर रम क आशष आप पर सदव बन रह

आपक नततव म अरणचल परदश रज वकस क नए मनक सथपत कर",non-hostile,सरयदय क परनत म वकस समदध क उजयर फल रह ऊरजवन व लकपरय मखयमतर शर ज क जनमदन क अनत शभकमनए परभ शर रम क आशष आप सदव बन रह आपक नततव म अरणचल परदश रज वकस क नए मनक सथपत
33,"रम मदर क नरमण शर हआ त आतमहतय कर लग  कपल सबल  सवधन 5 अगसत क कपल सबल आतमहतय कर सकत ह 
",fake,रम मदर क नरमण शर हआ त आतमहतय लग कपल सबल सवधन अगसत क कपल सबल आतमहतय सकत ह
34,"एक मदर क तरण archway पर लख यह सदश यह तरथ हनदओ क पवतर सथल ह शदर मसलमन क परवश वरजत ह

",fake,मदर क तरण लख सदश तरथ हनदओ क पवतर सथल ह शदर मसलमन क परवश वरजत ह
35,मखयमतर ज न कह क इन तन शरणय क उदयमय स सवद सथपत करक उदयग बनध क मधयम स इनक समसयओ क समधन कय जए ACS गह व सचन शर  ज,non-hostile,मखयमतर ज न कह क इन तन शरणय क उदयमय स सवद सथपत करक उदयग बनध क मधयम स इनक समसयओ क समधन कय जए गह व सचन शर ज
36,"  क खलफ शवसन नतओ दवर कह गए अपशबद पर कड सजञन लत हए  चयरपरसन   न शवसन नतओ क खलफ पलस करयवह करन  क लए   ममबई पलस क लख ह    धनयवद बहन ज
 
 ",non-hostile,क खलफ शवसन नतओ दवर कह गए अपशबद कड सजञन लत हए चयरपरसन न शवसन नतओ क खलफ पलस करयवह करन क लए ममबई पलस क लख ह धनयवद बहन ज
37,"Kushinagar  पलस क समन भड न आरप हतयर क पटपटकर मर डल ABPGanga  
",non-hostile,पलस क समन भड न आरप हतयर क पटपटकर मर डल
38,"INDvNZ सरव गगल बल धन क सतव नबर पर भजन गलत
SauravGanguly 
 ",non-hostile,सरव गगल बल धन क सतव नबर भजन गलत
39,चन स जर तनव पर वपकष दल क सथ बद दरवज क पछ बठक कर सकत ह सरकर दश क आग म झक कर दरवज बद म बठक वपकष क  हसस नह लन चहए जसन कय ह वह भरग,hate,चन स जर तनव वपकष दल क सथ बद दरवज क पछ बठक सकत ह सरकर दश क आग म झक दरवज बद म बठक वपकष क हसस नह लन चहए जसन कय ह वह भरग
40,"Top100 म दखए आज सबह क सभ खबर
Morningnews ",non-hostile,म दखए आज सबह क सभ खबर
41,"रहल गध क PM पद क उममदवर बनत ह मद ज क आध जत तय ह जत ह सरफ दल क सफ हन रजनत क लए कफ नह भषण क कल भ अचछ हन चहए मद ज क झठ क बवजद लग उनह पसद करत ह

कगरस क लए PM और अधयकष पद पर NonGandhi एकमतर वकलप ह","fake,hate,offensive",रहल गध क पद क उममदवर बनत ह मद ज क आध जत तय ह जत ह सरफ दल क सफ हन रजनत क लए कफ नह भषण क कल भ अचछ हन चहए मद ज क झठ क बवजद लग उनह पसद करत ह कगरस क लए अधयकष पद एकमतर वकलप ह
42,"वकसन बनन तक जयद टसटग सबस बड हथयर मखयमतर शर  ज

मखयमतर ज न कह नकट भवषय म तन बएसएल3 लब मडकल कलज शहजहपर जआईएमएस गरटर नएड व एसएसपएच नएड म सथपत हग ",non-hostile,वकसन बनन जयद टसटग सबस बड हथयर मखयमतर शर ज मखयमतर ज न कह नकट भवषय म तन बएसएल लब मडकल कलज शहजहपर जआईएमएस गरटर नएड व एसएसपएच नएड म सथपत हग
43,"मबई खल मनहलस क शकल म मजद ह BMC क लपरवह क नमन बन रह ह जनलव



रपरट   ",non-hostile,मबई खल मनहलस क शकल म मजद ह क लपरवह क नमन बन रह ह जनलव रपरट
44,"मसलम पढ लखकर सरकर नकर म जए त  बजप समरथत सदरशन TV सजश बत रह ह न पढ य मदरस म पढ त कह क आतकवद तयर ह रह ह आखर मसलम कय कर 
 
",non-hostile,मसलम पढ लखकर सरकर नकर म जए त बजप समरथत सदरशन सजश बत रह ह न पढ य मदरस म पढ त कह क आतकवद तयर ह रह ह आखर मसलम कय
45,जरर समन क दकन मडकल क छड़कर सबह 9 स शम 5 बज तक ह खलग,fake,जरर समन क दकन मडकल क छड़कर सबह स शम बज ह खलग
46," बगल क डयन क गरस ह य बचर

मसटर सहब और उनक परवर",defamation,बगल क डयन क गरस ह य बचर मसटर सहब उनक परवर
47,"अभनतर कगन रनत क मल वई शरण क सरकष 
KanganaRanaut  
",non-hostile,अभनतर कगन रनत क मल वई शरण क सरकष
48,"आजद क लडई क दरन चच क गल दबकर उनह यतनए दन क कशस करत अगरज महल
बद म चच न धब पछड मर इस महल स पर रत जग लडक बदल लय
चच नरभक थ दश क लए जझर हकर लडत थ दश चच क यद रखग
jnu_protest","defamation,hate,offensive",आजद क लडई क दरन चच क गल दबकर उनह यतनए दन क कशस करत अगरज महल बद म चच न धब पछड मर महल स रत जग लडक बदल लय चच नरभक थ दश क लए जझर हकर लडत थ दश चच क यद रखग
49,"जस रजय म 40 लख परवस जन आए ह वह करन सकरमण क सथत अनय समपनन रजय क तलन म नयतरत ह

हमन अपन एकएक नगरक क सरकष सनशचत क ह 

यह सब इसलए सभव ह सक कयक यह एक टम कम कर रह थ

करन वरयरस क नमन ",non-hostile,जस रजय म लख परवस जन आए ह वह करन सकरमण क सथत अनय समपनन रजय क तलन म नयतरत ह हमन अपन एकएक नगरक क सरकष सनशचत क ह सब इसलए सभव ह सक कयक टम कम रह थ करन वरयरस क नमन
50,"कय इस महन फर बढ गए रसई गस सलडर क दम जनए कतन हई कमत
LPG cylinder IOC gascylinder cylinderprice 
",non-hostile,कय महन फर बढ गए रसई गस सलडर क दम जनए कतन हई कमत
51,बहर म दखव क लए समय समय पर पलट रम और फक रम नर कशत लडत ह फर चनव क बद एक हकर भरषटचर करत ह,defamation,बहर म दखव क लए समय समय पलट रम फक रम नर कशत लडत ह फर चनव क बद हकर भरषटचर करत ह
52,"कय चदरयन 2 क असफलत क लए कगरस ज़ममदर

",fake,कय चदरयन क असफलत क लए कगरस ज़ममदर
53,यह दखए यह आतकवद मबई म एक रलव पलटफरम पर खलकर पकसतन जदबद क नर लग रह ह और आतक जहद अब आजम ज मबई बम बलसट म भ पकड गय थ लकन जहद कगरस क करण ह बचकर सफ नकल गय आखर इन आतकय क हदसतन म कब तक बरदशत कय जएग,hate,दखए आतकवद मबई म रलव पलटफरम खलकर पकसतन जदबद क नर लग रह ह आतक जहद अब आजम ज मबई बम बलसट म भ पकड गय थ लकन जहद कगरस क करण ह बचकर सफ नकल गय आखर इन आतकय क हदसतन म कब बरदशत कय जएग
54,"दख मबई म अभ स पकसतन जदबद क नर लगन लग
तम सए रह हनदओ 
","defamation,hate",दख मबई म अभ स पकसतन जदबद क नर लगन लग तम सए रह हनदओ
55,"गरदव उझन नवन मड सथल
म भ नलकप और कसन क पन क पन क समचत वयवसथ कर दजए
ब कमन नगरपलक बल समजवद ह इसलए कछ नह करत
        ","defamation,offensive",गरदव उझन नवन मड सथल म भ नलकप कसन क पन क पन क समचत वयवसथ दजए ब कमन नगरपलक बल समजवद ह इसलए कछ नह करत
56,Hardoi सदगध हलत म यवक क शव मल पड स लटकत मल यवक क शव परजन न जतई हतय क आशक पलस न शव पसटमरटम क लए भज बनगज कतवल क जरव क ममल   दश_बहल_तबलग_जममदर policemedianews,non-hostile,सदगध हलत म यवक क शव मल पड स लटकत मल यवक क शव परजन न जतई हतय क आशक पलस न शव पसटमरटम क लए भज बनगज कतवल क जरव क ममल दशबहलतबलगजममदर
57,"सशल मडय पर वयरल ह रह एक वडय क सथ दव कय ज रह ह क अशक तनज नम क एक बजप नत क अपन ह बट स बलतकर करन क ममल म गरफतर कय गय ह कय ह सच सनए इस फकट चक पडकसट म FactCheck 

 ",non-hostile,सशल मडय वयरल ह रह वडय क सथ दव कय ज रह ह क अशक तनज नम क बजप नत क अपन ह बट स बलतकर करन क ममल म गरफतर कय गय ह कय ह सच सनए फकट चक पडकसट म
58,"RheaChakraborty क नह जनत थ सदप सह कह SushantSinghRajput न मर समन कभ डरगस नह लए

 ",non-hostile,क नह जनत थ सदप सह कह न मर समन कभ डरगस नह लए
59, नस चह खकर कतय हज क चल,"defamation,fake,hate,offensive",नस चह खकर कतय हज क चल
60,"भरतय सन न उखड फक चन क जसस उपकरण चशल क बलक टप क कहन
  

PangongLake IndiaChinaFaceOff",non-hostile,भरतय सन न उखड फक चन क जसस उपकरण चशल क बलक टप क कहन
61,"अमर सह क नधन स खल हई रजयसभ सट क लए बजप क द नतओ न नमकन भर ह 
HindiNews
",non-hostile,अमर सह क नधन स खल हई रजयसभ सट क लए बजप क द नतओ न नमकन भर ह
62,"दश क रकष करत हए परण क आहत दन वल शर परशनत शरम ज क परजन क परत मर सवदनए

 शहद क परजन क 50 लख क आरथक सहयत तथ एक सदसय क सरकर नकर परदन करग

जनपद मजफफरनगर क एक सडक क नमकरण शहद परशनत ज क समत म हग",non-hostile,दश क रकष करत हए परण क आहत दन वल शर परशनत शरम ज क परजन क परत मर सवदनए शहद क परजन क लख क आरथक सहयत तथ सदसय क सरकर नकर परदन करग जनपद मजफफरनगर क सडक क नमकरण शहद परशनत ज क समत म हग
63,"अमजन जलद आपक घर पर डरन क जरए समन डलवर करग
HindiNews 
",non-hostile,अमजन जलद आपक घर डरन क जरए समन डलवर करग
64,"दश म 43 कदर सरकर क वशव वदयलय ह बजपआरएसएस क महरवन स एक भ दलत कलपत नह ह amp ज दलत टचर इनक गलम नह ह उनक नशन बनय ज रह ह जस ड ऋत सह क दलत रम कलज म

 
 
 
 
",non-hostile,दश म कदर सरकर क वशव वदयलय ह बजपआरएसएस क महरवन स भ दलत कलपत नह ह ज दलत टचर इनक गलम नह ह उनक नशन बनय ज रह ह जस ड ऋत सह क दलत रम कलज म
65,"RT  दश म भईचर नह बच ह  सफ अल खन 

अब हमन चर बनन छड दय ह और भई त तम अपन बहन क भ नह हत",defamation,दश म भईचर नह बच ह सफ अल खन अब हमन चर बनन छड दय ह भई त तम अपन बहन क भ नह हत
66,"फरख अबदलल न अपन कगज खज लय
म मसलम नह कशमर पडत ह 
फरक अबदलल 
धर धर इस तरह सब अपन कगज दखएग",hate,फरख अबदलल न अपन कगज खज लय म मसलम नह कशमर पडत ह फरक अबदलल धर धर तरह सब अपन कगज दखएग
67,  पओक म बन आतक क बनकर पर सरजकल सटरइक बएमस न कर द,"defamation,hate,offensive",पओक म बन आतक क बनकर सरजकल सटरइक बएमस न द
68,"MP अपन अधकर क लए नह बल सकत त जनत क लए कय करग ससद क मद ज स पछन चहए क 8000 करड क नई जहज अपन ठट क लए कय खरद रह हवरतमन वयवसथ परयपत ह MPLAD द सल क लए कट दय ज इतन ह रश क ह इसस जनत क भलई हत ह
",non-hostile,अपन अधकर क लए नह बल सकत त जनत क लए कय करग ससद क मद ज स पछन चहए क करड क नई जहज अपन ठट क लए कय खरद रह हवरतमन वयवसथ परयपत ह द सल क लए कट दय ज इतन ह रश क ह इसस जनत क भलई हत ह
69,आरएसएस क मखयलय नगपर क समन करकट वशवकप म इगलड क जत क जशन मन रह ह ,fake,आरएसएस क मखयलय नगपर क समन करकट वशवकप म इगलड क जत क जशन मन रह ह
70,"दलल क बकवट हलस एससएशन न म मखयमतर शर  स मलकर दलल म बकवट हलस खलन क लए दलल सरकर क धनयवद दय 

म मखयमतर ज न कह क दलल म करन क नयतरत करन म हमर बकवट हलस भ दलल मडल क अहम हसस ह ",non-hostile,दलल क बकवट हलस एससएशन न म मखयमतर शर स मलकर दलल म बकवट हलस खलन क लए दलल सरकर क धनयवद दय म मखयमतर ज न कह क दलल म करन क नयतरत करन म हमर बकवट हलस भ दलल मडल क अहम हसस ह
71,"गजब शह भई

कछ भसय और उनक चमच क थड समझ आएग
ज बग बस क नग नच दखत ह  ",defamation,गजब शह भई कछ भसय उनक चमच क थड समझ आएग ज बग बस क नग नच दखत ह
72,आश ह क आप सहमत हग  ,non-hostile,आश ह क आप सहमत हग
73,"व डट सपरट NRC CAB CAA वपस जओ मद टकल अमत ग बक

",fake,व डट सपरट वपस जओ मद टकल अमत ग बक
74,आज ज आवज नह उठत व कल पछतयगकयक आज हमर खमश रहन ह आन वल पढ क गलम क जमनत हऔर लग आन वल वकत म कहग क जमन ह खरब थ कय करतलकन नसल पछग तम खमश कय थ,offensive,आज ज आवज नह उठत व कल पछतयगकयक आज हमर खमश रहन ह आन वल पढ क गलम क जमनत हऔर लग आन वल वकत म कहग क जमन ह खरब थ कय करतलकन नसल पछग तम खमश कय थ
75,हम एक कम तक क सफर क चलकर तय करन चहए परकश जवडकर,non-hostile,हम कम क सफर क चलकर तय करन चहए परकश जवडकर
76,RT  बरजगर और नजकरण क खलफ कल 9 सतमबर ठक रत 9 बज सरफ 9 मनट क लए घर क लइट बद कर दप दय ममबततय,hate,बरजगर नजकरण क खलफ कल सतमबर ठक रत बज सरफ मनट क लए घर क लइट बद दप दय ममबततय
77, वकत बदलत टइम नह लगत तमहर औकत ह नह बचग आन वल समय म ज त समन खरद सकत ह वजञपन दखकर,"hate,offensive",वकत बदलत टइम नह लगत तमहर औकत ह नह बचग आन वल समय म ज त समन खरद सकत ह वजञपन दखकर
78,"मगलवर क 8 घट क लब पछतछ क बद सबआई न रय क पत क दबर बलय 
SushantSinghRajputCase RheaChakraborthy 

",non-hostile,मगलवर क घट क लब पछतछ क बद सबआई न रय क पत क दबर बलय
79,भरत न चन स सम पर तनत उसक सनक क अनशसन और नयतरण म रखन क कह,non-hostile,भरत न चन स सम तनत उसक सनक क अनशसन नयतरण म रखन क कह
80,"कदरय गरमण वकस तथ पचयत रज मतर  न कह क समदयक भवन क वकस स हग पचयत क वयवसथओ क बहतर उपयग गव क सथ ह दश बनग आतमनरभर 

ववरण   ",non-hostile,कदरय गरमण वकस तथ पचयत रज मतर न कह क समदयक भवन क वकस स हग पचयत क वयवसथओ क बहतर उपयग गव क सथ ह दश बनग आतमनरभर ववरण
81,"गर एकत न बहत कम समय म कननर समज म अपन ऐस रतब कयम कर लय थ क समज क लग उनह अपन सपर गर मनन लग थ


",non-hostile,गर एकत न बहत कम समय म कननर समज म अपन ऐस रतब कयम लय थ क समज क लग उनह अपन सपर गर मनन लग थ
82,"बधवर क रटयर ह रह जसटस मशर न उजजन क महकलशवर मदर पर फसल दन क बद अपन सथ जज स कह क शव क कप स य आखर फसल भ ह गय 

",non-hostile,बधवर क रटयर ह रह जसटस मशर न उजजन क महकलशवर मदर फसल दन क बद अपन सथ जज स कह क शव क कप स य आखर फसल भ ह गय
83,सपरम करट अधकतर आरकषण वरध म फसल दन म आतर रहत ह 5 जज क पठ न आरकषण म उपसच बनन क अधकर रजय क दन क पकष म 7 जज क पठ क समकष भजन क फसल लय ह ऐस ततपरत कभ नह दखत क आरकषण लग ह रह ह क नह,non-hostile,सपरम करट अधकतर आरकषण वरध म फसल दन म आतर रहत ह जज क पठ न आरकषण म उपसच बनन क अधकर रजय क दन क पकष म जज क पठ क समकष भजन क फसल लय ह ऐस ततपरत कभ नह दखत क आरकषण लग ह रह ह क नह
84,Pratapgarh यवक क गल मरकर हतय यवक पर थ चर क कशश करन क आरप रत म चर स घर म घसन क आरप पलस न शव क कबज म लय हथगव थन क कढ गव क ममल   policemedianews,non-hostile,यवक क गल मरकर हतय यवक थ चर क कशश करन क आरप रत म चर स घर म घसन क आरप पलस न शव क कबज म लय हथगव थन क कढ गव क ममल
85,"सन सद न अकषय कमर क लकर बतई मजदर बत कह वह नट बड तज स गनत ह 

SonuSood 
",non-hostile,सन सद न अकषय कमर क लकर बतई मजदर बत कह वह नट बड तज स गनत ह
86,"रय चकरवरत क सपरट म आई तपस पनन SushantSinghRajput ममल पर लख पसट

 

",non-hostile,रय चकरवरत क सपरट म आई तपस पनन ममल लख पसट
87,"अभ तक आरप लख लटर ऑयल चर चक ह

  

",non-hostile,अभ आरप लख लटर ऑयल चर चक ह
88,"चनव_आयग कह ह 

सपरम करट स अनरध ह सवत सजञन लकर कररवई कर BJP वधयक अनल उपधयय पर और चनव_आयग क पदधकरय पर भ कररवई कर
",defamation,चनवआयग कह ह सपरम करट स अनरध ह सवत सजञन लकर कररवई वधयक अनल उपधयय चनवआयग क पदधकरय भ कररवई
89,  अब सल पलल कसक कह रह ह अभ त गध अब गध क औलद सल सधर ज सल बलल बलल कहन छड दए थ सल तम लग क वजह स ह त जस समज पछ आ जए,"hate,offensive",अब सल पलल कसक कह रह ह अभ त गध अब गध क औलद सल सधर ज सल बलल बलल कहन छड दए थ सल तम लग क वजह स ह त जस समज पछ आ जए
90,"मबई  यह शहर तकदर बदलत ह 

सलम करग त सलम मलग ",defamation,मबई शहर तकदर बदलत ह सलम करग त सलम मलग
91,"महन भगवत क ववदत बयन कह सन स पहल 3 दन म आरएसएस क लग तयर ह जएग अब इस भज पहल बरडर पर ओर बल जओ पकसतन क तबह करक ह लटन वरन वह रह जन

",fake,महन भगवत क ववदत बयन कह सन स पहल दन म आरएसएस क लग तयर ह जएग अब भज पहल बरडर ओर बल जओ पकसतन क तबह करक ह लटन वरन वह रह जन
92,"पलघर क तरज पर पजब क हशयर पर म सत पषपदर सवरप ज महरज पर शतदत न हमल कय ह जब व घर पर बट क सथ थ

आखर य सध सत क हतय कगरस शसत रजय म ह कय ह रह ह","fake,hate",पलघर क तरज पजब क हशयर म सत पषपदर सवरप ज महरज शतदत न हमल कय ह व घर बट क सथ थ आखर य सध सत क हतय कगरस शसत रजय म ह कय ह रह ह
93,"इस रजय म आज स शर 13 सपशल टरन
",non-hostile,रजय म आज स शर सपशल टरन
94,"बरक पहनकर पकसतन क झड लहर रह थ यह आर एस एस क  मसलमन सतरक रह यह लग नई नई चल चल रह ह मसलमन क बदनम करन ह कपशन क सथ पसट कय गय ह

",fake,बरक पहनकर पकसतन क झड लहर रह थ आर एस एस क मसलमन सतरक रह लग नई नई चल चल रह ह मसलमन क बदनम करन ह कपशन क सथ पसट कय गय ह
95,"IndiaFightsCorona

कवड19 स बचव क लए 3 सरल कदम

हथ क सवचछत सनशचत कर
चहर पर कवर मसक पहन
शररक दर बनए रख

StaySafe IndiaWillWin ",non-hostile,कवड स बचव क लए सरल कदम हथ क सवचछत सनशचत चहर कवर मसक पहन शररक दर बनए रख
96,य रह आईपएल2020 क शडयल दख लजए आपक फवरट टम क मच कसकस दन ह  ,non-hostile,य रह आईपएल क शडयल दख लजए आपक फवरट टम क मच कसकस दन ह
97,"हस आत ह 

जब मजहब क नम पर अपन बब क तलक क बद मलव क सथ सलन वल भ बलत ह हद धरम म अधवशवस ह",hate,हस आत ह मजहब क नम अपन बब क तलक क बद मलव क सथ सलन वल भ बलत ह हद धरम म अधवशवस ह
98,"कल स गयपडत दनदयल उपधयय रलखड पर शर हग परचलन भभआ स पटन तक चलग टरन

परयदरश क रपरट
",non-hostile,कल स गयपडत दनदयल उपधयय रलखड शर हग परचलन भभआ स पटन चलग टरन परयदरश क रपरट
99,"करन क रकरड ममल क बच रहत एक महन म कम हई 045 फसद मतय दर 
CoronaOutbreak 

",non-hostile,करन क रकरड ममल क बच रहत महन म कम हई फसद मतय दर
100,अगर परकश आबडकर क कदम हनदतव क ओर जत ह त हम इसक सवगत करत ह शवसन ,non-hostile,अगर परकश आबडकर क कदम हनदतव क ओर जत ह त हम इसक सवगत करत ह शवसन
